England and Wales Code,England and Wales,Household size (5 categories) Code,Household size (5 categories),Tenure of household (5 categories) Code,Tenure of household (5 categories),Household composition (15 categories) Code,Household composition (15 categories),Accommodation type (5 categories) Code,Accommodation type (5 categories),Observation
K04000001,England and Wales,3,3 people in household,-8,Does not apply,-8,Does not apply,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,-8,Does not apply,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,-8,Does not apply,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,-8,Does not apply,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,1,One-person household: Aged 66 years and over,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,1,One-person household: Aged 66 years and over,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,1,One-person household: Aged 66 years and over,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,1,One-person household: Aged 66 years and over,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,1,One-person household: Aged 66 years and over,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,2,One-person household: Other,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,2,One-person household: Other,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,2,One-person household: Other,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,2,One-person household: Other,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,2,One-person household: Other,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,3,Single family household: All aged 66 years and over,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,3,Single family household: All aged 66 years and over,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,3,Single family household: All aged 66 years and over,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,3,Single family household: All aged 66 years and over,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,3,Single family household: All aged 66 years and over,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,4,Single family household: Married or civil partnership couple: No children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,5,Single family household: Married or civil partnership couple: Dependent children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,6,Single family household: Married or civil partnership couple: All children non-dependent,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,7,Single family household: Cohabiting couple family: No children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,3,3 people in household,-8,Does not apply,8,Single family household: Cohabiting couple family: With dependent children,4,"Flat, maisonette or apartment",0
